"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.36,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5360.423,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5538.347,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5851.055,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4777.091,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5013.987,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5103.2,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5427.957,"E"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2670.883,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2891.435,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3170.668,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3427.91,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4849.601,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5107.207,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5294.51,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5567.899,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4103.423,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4221.84,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4331.459,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4578.42,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4934.851,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",5056.85,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5154.119,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5375.699,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5667.773,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",6010.556,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6223.787,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6645.757,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2220.792,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2238.575,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2265.899,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2383.628,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1999.618,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",2029.307,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2149.72,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2222.426,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4544.695,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4742.979,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4911.848,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",5275.543,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3273.919,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3399.199,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3484.935,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3649.206,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2016",4864.116,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2017",5012.604,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5216.284,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5558.322,"E"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2016",5075.476,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2017",5263.825,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5436.287,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5765.098,"P"
"POL","HEALTHEXP","TOT","USD_CAP","A","2016",1959.032,
"POL","HEALTHEXP","TOT","USD_CAP","A","2017",2075.848,
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2113.702,
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2229.601,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2016",2822.462,"B"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2017",2922.416,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",3097.301,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3378.627,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2016",2039.544,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2017",2048.386,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2142.079,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2353.645,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2016",3148.718,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2017",3322.37,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3429.798,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3616.459,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2016",5121.772,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2017",5318.124,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5433.728,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5782.292,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2016",2028.168,
"EST","HEALTHEXP","TOT","USD_CAP","A","2017",2216.541,
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2368.125,
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2578.793,"P"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2016",2738.131,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2017",2853.329,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",3042.262,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3224.02,"P"
"LVA","HEALTHEXP","TOT","USD_CAP","A","2016",1613.746,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2017",1679.834,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1856.485,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",1972.572,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2016",2097.717,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2017",2235.942,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2385.085,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2638.133,"P"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2016",1598.294,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2017",1687.664,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2018",1765.159,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1996.441,"E"
"HRV","HEALTHEXP","TOT","USD_CAP","A","2016",1675.313,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2017",1766.985,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2018",1875.422,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",2007.899,"E"
"CYP","HEALTHEXP","TOT","USD_CAP","A","2016",2332.398,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2017",2428.144,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2018",2565.639,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2790.266,"E"
"MLT","HEALTHEXP","TOT","USD_CAP","A","2016",3451.386,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2017",3770.457,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2018",3832.632,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2019",4262.218,"E"
"ROU","HEALTHEXP","TOT","USD_CAP","A","2016",1250.917,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2017",1436.126,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2018",1686.092,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1906.81,"E"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3842.551,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3965.531,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4137.249,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4402.307,"P"
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3635.301,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3808.396,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3868.815,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4124.704,"E"
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2189.526,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2373.693,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2632.674,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2856.183,"E"
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4079.602,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4291.28,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4441.065,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4663.379,"E"
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3127.891,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3226.243,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3331.649,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3536.458,"E"
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4099.156,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4210.762,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4310.546,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4501.36,"E"
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4778.465,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",5080.225,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5262.825,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5648.148,"P"
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1348.827,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1353.358,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1331.187,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1411.934,"E"
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1361.749,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1403.09,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1493.013,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1542.262,"P"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3292.302,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3452.224,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3629.425,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3918.562,"P"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2435.829,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2506.412,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2574.962,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2705.723,"P"
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4066.778,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4208.202,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4385.658,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4697.036,"E"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4118.23,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4297.982,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4461.302,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4766.586,"P"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1358.02,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1438.311,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1511.176,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1568.072,"P"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1735.388,"B"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1785.78,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1906.226,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2069.013,"P"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1638.985,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1637.456,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1716.53,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1911.872,"E"
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2253.044,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2347.344,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2414.69,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2559.598,"E"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4323.73,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4507.569,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4623.676,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4928.009,"P"
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1534.438,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1631.146,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1744.572,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1916.407,"P"
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",901.546,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",963.038,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1111.674,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1179.533,"E"
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1396.994,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1478.776,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1599.152,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1768.816,"P"
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1991.395,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2060.011,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2215.448,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2314.142,"P"
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",884.759,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",943.999,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1042.85,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1211.554,"E"
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1382.481,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1458.541,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1553.672,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1666.643,"E"
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",958.284,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1004.07,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1103.031,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1268.829,"E"
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2175.348,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2385.597,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2432.871,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2770.717,"E"
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",979.818,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1129.543,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1344.342,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1530.065,"E"
